Genes	ENTREZ_ID	Genes
DEFB135	613209	DEFB135
CYB5RL	606495	CYB5RL
NPS	594857	NPS
CPLX3	594855	CPLX3
UGT2A2	574537	UGT2A2
PRR9	574414	PRR9
CLLU1	574028	CLLU1
CLLU1OS	574016	CLLU1OS
HIST2H4B	554313	HIST2H4B
FAM72C	554282	FAM72C
FBXO48	554251	FBXO48
GDF5OS	554250	GDF5OS
ASPDH	554235	ASPDH
ANKRD30BL	554226	ANKRD30BL
PRR5-ARHGAP8	553158	PRR5-ARHGAP8
PEF1	553115	PEF1
BOLA2	552900	BOLA2
DNAJC25-GNG10	552891	DNAJC25-GNG10
ATXN7L3B	552889	ATXN7L3B
CCDC157	550631	CCDC157
DNAJC25	548645	DNAJC25
POLR2J3	548644	POLR2J3
CKMT1A	548596	CKMT1A
SLX1A	548593	SLX1A
SSX4B	548313	SSX4B
CXorf40B	541578	CXorf40B
C8orf58	541565	C8orf58
LURAP1	541468	LURAP1
CT45A1	541466	CT45A1
CT45A6	541465	CT45A6
DEFB105B	504180	DEFB105B
DEFB106B	503841	DEFB106B
DUXA	503835	DUXA
DPRX	503834	DPRX
DEFB104B	503618	DEFB104B
DEFB107B	503614	DEFB107B
ARGFX	503582	ARGFX
SPRN	503542	SPRN
MS4A13	503497	MS4A13
C18orf32	497661	C18orf32
CLEC18B	497190	CLEC18B
TIFAB	497189	TIFAB
WEE2	494551	WEE2
RNF165	494470	RNF165
SPANXN5	494197	SPANXN5
FBXO47	494188	FBXO47
CHAC2	494143	CHAC2
SPANXN2	494119	SPANXN2
RBMXL1	494115	RBMXL1
PHOSPHO2	493911	PHOSPHO2
RNASE12	493901	RNASE12
GPX8	493869	GPX8
EID3	493861	EID3
CCDC73	493860	CCDC73
CISD2	493856	CISD2
TRIM72	493829	TRIM72
COA5	493753	COA5
IGIP	492311	IGIP
F8A3	474384	F8A3
F8A2	474383	F8A2
H2AFB1	474382	H2AFB1
H2AFB2	474381	H2AFB2
LRRC18	474354	LRRC18
GIMAP6	474344	GIMAP6
SPIN2B	474343	SPIN2B
LRRC37A2	474170	LRRC37A2
LCE6A	448835	LCE6A
KPRP	448834	KPRP
FRG2	448831	FRG2
PALM2-AKAP2	445815	PALM2-AKAP2
POTEE	445582	POTEE
C9orf129	445577	C9orf129
CBWD3	445571	CBWD3
TRIM6-TRIM34	445372	TRIM6-TRIM34
SULT1A4	445329	SULT1A4
ARHGEF35	445328	ARHGEF35
IGFL4	444882	IGFL4
BPY2C	442868	BPY2C
BPY2B	442867	BPY2B
PRY2	442862	PRY2
LMOD2	442721	LMOD2
SPDYE5	442590	SPDYE5
FAM47C	442444	FAM47C
FOXB2	442425	FOXB2
OR2A2	442361	OR2A2
RFPL4B	442247	RFPL4B
PTCHD4	442213	PTCHD4
OR10C1	442194	OR10C1
OR14J1	442191	OR14J1
OR2J3	442186	OR2J3
OR2B3	442184	OR2B3
GALNTL6	442117	GALNTL6
SULT1C3	442038	SULT1C3
OR13G1	441933	OR13G1
OR10J3	441911	OR10J3
PRAMEF7	441871	PRAMEF7
ANKRD65	441869	ANKRD65
TARM1	441864	TARM1
OR4M1	441670	OR4M1
OR4Q3	441669	OR4Q3
OR9K2	441639	OR9K2
TSPAN11	441631	TSPAN11
OR5B3	441608	OR5B3
FRG2B	441581	FRG2B
CDNF	441549	CDNF
PGAM4	441531	PGAM4
SPANXN4	441525	SPANXN4
CT45A5	441521	CT45A5
CT45A3	441519	CT45A3
GLRA4	441509	GLRA4
NRARP	441478	NRARP
ANKRD18B	441459	ANKRD18B
NUTM2G	441457	NUTM2G
ANKRD20A2	441430	ANKRD20A2
ANKRD20A3	441425	ANKRD20A3
LRRC24	441381	LRRC24
AARD	441376	AARD
OR4F21	441308	OR4F21
CTAGE15	441294	CTAGE15
AKR1B15	441282	AKR1B15
SPDYE2	441273	SPDYE2
SPDYE3	441272	SPDYE3
TYW1B	441250	TYW1B
ZNF716	441234	ZNF716
OOEP	441161	OOEP
TMEM151B	441151	TMEM151B
C6orf226	441150	C6orf226
C5orf56	441108	C5orf56
C4orf47	441054	C4orf47
TMEM150C	441027	TMEM150C
MTHFD2L	441024	MTHFD2L
SMIM4	440957	SMIM4
IQCF6	440956	IQCF6
TMEM89	440955	TMEM89
CAPN14	440854	CAPN14
ODF3B	440836	ODF3B
SHISA8	440829	SHISA8
PIWIL3	440822	PIWIL3
RIMBP3B	440804	RIMBP3B
